Light Source:,LAV2-SW,,,,
Filter:,"Tricolor 457 +/- 22 nm, 530 +/- 20 nm, 628 +/- 28 nm",,,,
Camera:,"IDS USB 3.0 Camera, Model UI-3060CPC",,,,
Wavelength (nm),Relative Light Intensity (fraction),Light Filter (fraction),Relative Camera Sensitivity for Red (fraction),Relative Camera Sensitivity for Green (fraction),Relative Camera Sensitivity for Blue (fraction)
418.5,0.002460902,0,0.04659078,0.034826685,0.481938789
418.6,0.002541453,0,0.0464714,0.034771014,0.482445195
418.7,0.00262393,0,0.046352935,0.034715782,0.482950896
418.8,0.002708307,0,0.046235354,0.034660984,0.483456336
418.9,0.002794563,0,0.046118627,0.034606614,0.483961957
419,0.002882674,0,0.046002723,0.034552666,0.484468203
419.1,0.002972616,0,0.045887612,0.034499135,0.484975516
419.2,0.003064365,0,0.045773264,0.034446015,0.485484341
419.3,0.003157898,0,0.045659646,0.0343933,0.485995121
419.4,0.003253192,0,0.04554673,0.034340985,0.486508298
419.5,0.003350224,0,0.045434485,0.034289064,0.487024316
419.6,0.003448968,0,0.045322879,0.034237531,0.487543618
419.7,0.003549403,0,0.045211883,0.034185857,0.488064107
419.8,0.003651505,0,0.045101465,0.034133056,0.488582099
419.9,0.003755249,0,0.04499162,0.034079196,0.489098027
420,0.003860614,0,0.04488262,0.034024369,0.489612388
420.1,0.003968747,0,0.044774534,0.033968672,0.490125675
420.2,0.004092759,0,0.044667334,0.033912198,0.490638383
420.3,0.004235039,0,0.044560994,0.033855043,0.491151007
420.4,0.004393962,0,0.044455487,0.033797301,0.491664041
420.5,0.004567908,0,0.044350787,0.033739067,0.492177981
420.6,0.004755254,0,0.044246866,0.033680436,0.49269332
420.7,0.004954379,0,0.044143698,0.033621501,0.493210553
420.8,0.005163661,0,0.044041257,0.033562359,0.493730176
420.9,0.005381477,0,0.043939515,0.033503103,0.494252682
421,0.005606206,0,0.043838447,0.033443828,0.494778567
421.1,0.005836226,0,0.043738025,0.03338463,0.495308324
421.2,0.006069914,0,0.043638222,0.033325602,0.49584245
421.3,0.00630565,0,0.043539013,0.033266839,0.496381437
421.4,0.00654181,0,0.04344037,0.033208436,0.496925782
421.5,0.006776773,0,0.043342267,0.033150488,0.497475977
421.6,0.007008917,0,0.043244676,0.03309309,0.49803252
421.7,0.007236621,0,0.043147572,0.033036335,0.498595903
421.8,0.007458688,0,0.043050928,0.032980319,0.499170061
421.9,0.007682463,0,0.042954717,0.032925137,0.499760717
422,0.007910762,0,0.042858912,0.032870883,0.500365834
422.1,0.008143093,0,0.042763486,0.032817652,0.500983187
422.2,0.008378963,0,0.042668414,0.032765538,0.501610549
422.3,0.008617881,0,0.042573668,0.032714637,0.502245696
422.4,0.008859353,0,0.042479222,0.032665042,0.502886399
422.5,0.009102889,0,0.042385048,0.032616849,0.503530435
422.6,0.009347995,0,0.042291121,0.032570152,0.504175576
422.7,0.00959418,0,0.042197413,0.032525046,0.504819596
422.8,0.009840951,0,0.042103899,0.032481626,0.50546027
422.9,0.010087816,0,0.04201055,0.032439987,0.506095371
423,0.010334283,0,0.041917342,0.032400222,0.506722673
423.1,0.010579861,0,0.041824246,0.032362427,0.507339951
423.2,0.010824055,0,0.041731749,0.032326696,0.507944978
423.3,0.011066375,0,0.041641163,0.032293125,0.508535528
423.4,0.011306329,0,0.041552352,0.032261807,0.509109375
423.5,0.011543352,0,0.04146509,0.032232838,0.509664293
423.6,0.011774248,0,0.041379151,0.032206312,0.510201318
423.7,0.011998768,0,0.041294313,0.032182324,0.510727222
423.8,0.012218655,0,0.041210348,0.032160968,0.511243088
423.9,0.012435653,0,0.041127032,0.03214234,0.511749742
424,0.012651506,0,0.041044141,0.032126533,0.512248007
424.1,0.012867958,0,0.040961449,0.032113643,0.512738707
424.2,0.013086753,0,0.040878731,0.032103765,0.513222667
424.3,0.013309633,0,0.040795762,0.032096992,0.513700712
424.4,0.013538344,0,0.040712317,0.03209342,0.514173665
424.5,0.013774628,0,0.040628171,0.032092893,0.514642351
